ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
4922,-0.3440739332524207,566.62,-1.1878277437103808,0.9702128885912258,779.42,20.56,5.62,39.46,10.08,97.29,1.84,4.93,4.44,4.55,Yes,Blue,No,1,13,181861.5423,0
5009,-1.0102100667093172,1472.34,-1.1878277437103808,-0.9869889039559153,656.13,15.62,5.63,40.51,7.89,93.22,0.95,4.08,5.56,6.83,No,Green,No,1,17,50042.59757,0
4450,-1.1736012503145632,550.0,-0.3696019339137798,-0.008388007682344774,754.57,12.47,9.2,48.38,23.74,96.6,1.87,4.26,8.07,8.48,Yes,Green,Yes,2,34,48400.3444,0
1070,-1.038342099667405,941.81,-0.10093843252982983,-0.9869889039559153,439.59,22.22,7.08,94.67,5.22,91.45,1.45,4.45,5.0,6.27,Yes,Red,No,1,14,84594.12145,0
400,-1.2926935339587666,550.0,-1.1199596496383752,-0.008388007682344774,353.03,8.28,5.93,16.8,43.13,86.5,1.26,3.36,5.46,6.99,No,White,Yes,1,21,22934.59654,0
5979,-0.5481291755601924,1474.99,-0.28752431655893884,-0.9869889039559153,774.45,25.39,4.92,57.62,19.71,94.71,1.49,6.15,0.98,1.9,No,White,Yes,2,36,160664.1315,0
3703,-0.9177408408207134,1069.49,-0.9458751394191286,-0.008388007682344774,757.58,37.84,4.4,46.86,5.73,80.9,1.57,5.82,4.25,5.12,No,White,No,1,10,89824.60649,0
2260,-0.27825870622401916,550.0,-1.1878277437103808,-1.9655898002294858,636.64,48.26,4.32,60.29,11.35,94.18,0.72,5.81,5.43,6.03,No,Yellow,Yes,1,15,177283.1961,0
6739,-1.0703204038775327,550.0,-1.1878277437103808,0.9702128885912258,603.68,5.03,5.78,104.34,42.05,98.26,2.35,3.54,7.12,6.4,No,Red,Yes,1,19,53649.98602,0
2469,-1.0598888390795833,983.26,-1.1878277437103808,-0.9869889039559153,206.33,24.37,5.18,50.91,31.04,94.04,1.84,7.19,9.72,9.73,No,Red,Yes,1,9,177535.5475,0
2495,-1.3638744114896753,550.0,0.5046165169154283,-0.9869889039559153,885.44,20.75,7.82,9.04,26.83,93.05,2.23,6.81,8.01,5.25,No,Blue,Yes,1,2,2581.502071,0
2067,-0.27856234286691567,550.0,1.1008058434315164,-0.9869889039559153,739.97,80.69,4.65,83.67,20.2,98.29,1.65,4.54,6.83,6.14,Yes,Yellow,Yes,1,23,187774.5972,0
6880,-0.9358552379887355,550.0,-0.9774474299119082,-0.008388007682344774,610.78,36.83,7.51,57.32,20.71,93.03,0.82,2.67,4.12,4.37,Yes,Blue,Yes,1,11,107113.7257,0
1354,-1.3632552171347612,550.0,-0.07984938816361657,-0.9869889039559153,112.89,44.62,7.09,21.95,1.99,95.22,2.11,4.89,6.42,5.74,No,Blue,No,1,8,22.79598469,0
5294,-0.9903231095846384,877.78,-0.42973333502950756,-0.9869889039559153,953.4,44.48,7.0,41.11,26.65,99.31,0.69,2.67,6.32,6.32,Yes,Blue,No,1,2,200715.5873,0
3250,-1.2660055093399116,550.0,0.8000682850093234,-0.9869889039559153,857.44,4.75,7.78,21.55,23.4,99.9,1.52,4.89,6.68,7.14,No,Yellow,No,1,10,37017.79751,0
5527,-0.5445581337645526,550.0,0.12338982775910513,-0.008388007682344774,113.65,35.26,5.58,7.66,14.02,88.03,1.21,4.61,5.5,7.44,No,Red,Yes,1,22,114571.547,0
2005,-0.7513874969611335,691.89,-1.1703038078207222,-0.9869889039559153,569.96,43.26,6.49,54.11,25.93,98.27,1.37,4.74,4.29,4.6,No,Green,No,1,2,180119.4986,0
2214,-0.9930827721565002,1120.08,0.23021763438258405,-0.9869889039559153,980.87,49.98,3.55,18.34,10.21,99.9,1.94,3.51,9.09,5.45,No,White,No,1,14,92154.62183,0
1899,-1.3106892691736949,550.0,-1.1878277437103808,1.9488137848647964,757.75,24.83,7.71,74.56,12.18,96.38,0.35,5.13,6.22,6.26,No,Red,Yes,1,16,23568.32037,0
707,-1.1300794760656907,616.33,-1.1878277437103808,-0.008388007682344774,705.33,11.24,4.76,24.69,29.21,95.34,1.16,4.84,6.17,5.29,No,Green,No,1,16,100909.5214,0
2024,-0.9232671277462696,666.6,-1.1878277437103808,-1.9655898002294858,186.59,68.88,6.52,7.62,36.98,89.53,1.61,1.16,1.74,2.89,No,Green,No,1,4,79309.3064,0
4051,-0.9365466912971161,550.0,-1.1878277437103808,-0.008388007682344774,272.3,27.42,4.44,7.61,9.93,92.87,2.27,3.76,7.98,3.28,No,Yellow,Yes,1,16,85251.07949,0
2719,-0.6554632840580044,1060.69,0.529302779188731,-0.9869889039559153,383.62,65.99,8.79,24.69,8.8,85.0,1.41,2.5,5.97,7.44,No,Red,Yes,1,19,242828.0648,0
5783,-1.4140440480156524,550.0,-1.1878277437103808,-0.008388007682344774,934.49,18.12,3.52,38.92,34.32,90.02,1.29,0.78,10.0,8.05,No,Red,Yes,1,2,-850.6548876,0
4163,-0.52885925846058,1029.81,0.026515711529022407,-0.9869889039559153,24.46,27.11,5.0,85.69,15.79,96.63,1.55,5.09,5.67,3.77,Yes,Green,No,1,16,241830.8696,0
5132,-0.677393845801686,747.49,-0.7480411740507539,-0.008388007682344774,1166.44,26.54,7.83,21.61,13.38,95.46,1.78,5.32,5.26,5.3,No,Green,No,1,15,176512.8657,0
2865,-1.0860168751225407,554.35,-1.1073163083446875,-0.008388007682344774,198.32,31.51,6.56,80.3,8.17,85.1,1.34,4.28,7.04,4.82,No,Green,Yes,1,9,47422.38379,0
3348,-0.2327967964557143,1408.19,-0.735402748280012,-0.9869889039559153,559.88,17.19,5.76,35.65,5.99,87.61,0.24,3.52,1.8,6.1,No,Blue,No,1,12,228576.1636,0
3608,-0.7005576298592271,732.5,-0.5296521757262659,-0.008388007682344774,149.54,18.9,6.6,41.2,27.82,72.05,1.49,4.61,2.7,5.4,No,White,No,2,21,138102.8122,0
432,-0.7359761084845587,996.16,0.08591644252126411,-0.9869889039559153,368.3,35.72,5.36,27.83,12.22,87.55,2.04,2.83,1.74,4.29,No,Yellow,No,1,17,219650.7324,1
5966,-0.38043297830446793,583.25,1.8069081632877213,-1.9655898002294858,503.48,34.81,6.63,24.36,26.0,96.16,1.89,4.47,6.5,4.65,No,Blue,No,1,16,124303.9335,0
3225,-0.6137425961563174,550.0,1.3818115678087288,-0.9869889039559153,604.13,9.3,5.59,18.49,21.06,92.7,1.51,5.1,6.74,7.78,No,Red,Yes,1,21,251942.6485,0
